title,make,model,year,condition,transmission,price
Mercedes-Benz GLS-Class GLS450 4Matic 2017 White,Mercedes-Benz,GLS-Class GLS450,2017,foreign used,automatic,"₦ 55,000,000"
Toyota Sequoia Limited 4dr SUV 4WD (5.7L 8cyl 6A) 2008 White,Toyota,Sequoia Limited,2008,foreign used,automatic,"₦ 29,000,000"
Acura ZDX Base AWD 2013 Matt Black,Acura,ZDX Base,2013,foreign used,automatic,"₦ 18,800,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.5L 6cyl 7A) 2013 Black,Mercedes-Benz,C300 Luxury,2013,foreign used,automatic,"₦ 14,000,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2017 Brown,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 36,000,000"
New Toyota Hilux 2023 Black,New,Toyota Hilux,2023,brand new,automatic,"₦ 125,000,000"
Toyota Tacoma V6 4dr Double Cab 4WD 5.0 ft. SB (4.0L 6cyl 6M) 2014,Toyota,Tacoma V6,2014,foreign used,automatic,"₦ 24,000,000"
Lexus ES 330 2006 Silver,Lexus,ES 330,2006,foreign used,automatic,"₦ 10,500,000"
Toyota Venza V6 AWD 2012 Black,Toyota,Venza V6,2012,foreign used,automatic,"₦ 21,000,000"
Toyota 4-Runner 2016 Silver,Toyota,4-Runner,2016,local used,automatic,"₦ 45,000,000"
Toyota Corolla 2017 Gray,Toyota,Corolla,2017,foreign used,automatic,"₦ 19,500,000"
Toyota Corolla LE 2021 Silver,Toyota,Corolla LE,2021,foreign used,automatic,"₦ 28,000,000"
Toyota Highlander 2015 Black,Toyota,Highlander,2015,foreign used,automatic,"₦ 34,000,000"
Mercedes-Benz GLA 250 2015 Red,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 25,000,000"
Mercedes-Benz GL-Class GL450 4MATIC 4dr SUV AWD (3.0L 6cyl Turbo 7A),,,,foreign used,automatic,"₦ 28,000,000"
Honda Accord 2008 Silver,Honda,Accord,2008,local used,automatic,"₦ 2,500,000"
Toyota Camry 2010 Gray,Toyota,Camry,2010,foreign used,automatic,"₦ 11,000,000"
Toyota Corolla LE 2007 Gold,Toyota,Corolla LE,2007,foreign used,automatic,"₦ 8,500,000"
Toyota RAV4 3.5 Sport 4x4 2011 Gray,Toyota,RAV4 3,2011,foreign used,automatic,"₦ 15,000,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2012 Black,Acura,MDX SUV,2012,foreign used,automatic,"₦ 12,500,000"
Acura MDX Advance and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),,,,foreign used,automatic,"₦ 18,000,000"
Toyota Camry 2011 Gray,Toyota,Camry,2011,foreign used,automatic,"₦ 9,500,000"
Hyundai Elantra 2014 White,Hyundai,Elantra,2014,foreign used,automatic,"₦ 10,500,000"
Mercedes-Benz C300 2011 Silver,Mercedes-Benz,C300,2011,local used,automatic,"₦ 8,000,000"
Mercedes-Benz GLA 250 2016 Gray,Mercedes-Benz,GLA 250,2016,local used,automatic,"₦ 14,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2012 White,Toyota,Camry SE,2012,foreign used,automatic,"₦ 15,000,000"
Toyota Venza 2015 Gray,Toyota,Venza,2015,foreign used,automatic,"₦ 19,500,000"
Honda CR-V 2012 Gray,Honda,CR-V,2012,foreign used,automatic,"₦ 16,500,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,local used,automatic,"₦ 16,000,000"
Mercedes-Benz E300 2016 Black,Mercedes-Benz,E300,2016,local used,automatic,"₦ 22,000,000"
Toyota Camry 2018 Black,Toyota,Camry,2018,local used,automatic,"₦ 17,500,000"
Lexus RX 350 2022 Red,Lexus,RX 350,2022,foreign used,automatic,"₦ 75,000,000"
Toyota Sienna XLE 2007 Gold,Toyota,Sienna XLE,2007,foreign used,automatic,"₦ 11,500,000"
Lexus LX 570 AWD 2016 Gold,Lexus,LX 570,2016,foreign used,automatic,"₦ 110,000,000"
Mercedes-Benz M Class 2014 White,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 29,000,000"
